individual,Dnov1a,Dnov1b,Dnov6a,Dnov6b,Dnov7a,Dnov7b,Dnov24a,Dnov24b,Dnov51a,Dnov51b,Age class
141,224,228,134,154,217,217,261,261,213,213,Yearling
142,228,236,142,154,215,217,253,265,209,213,Yearling
143,240,240,134,142,217,217,253,253,0,0,Juvenile
144,240,240,134,142,211,217,253,265,213,213,Adult
145,220,228,134,134,215,217,253,253,213,213,Adult
147,232,240,134,134,215,217,253,261,213,213,Adult
149,228,228,142,142,217,217,253,261,213,213,Adult
150,224,236,142,142,215,217,253,261,213,213,Adult
151,240,240,134,142,215,217,261,261,213,213,Adult
152,228,240,142,154,217,217,253,261,209,213,Adult
153,220,240,142,146,211,215,261,261,213,213,Adult
154,228,228,142,142,215,215,261,265,213,213,Adult
155,228,228,134,142,217,217,253,261,213,213,Adult
156,240,240,142,142,217,217,253,253,0,0,Juvenile
157,224,228,142,142,217,217,261,261,209,213,Adult
158,224,228,142,142,215,217,253,261,213,213,Adult
159,228,240,142,146,217,217,261,261,213,213,Adult
160,224,228,142,142,215,217,261,261,213,213,Adult
161,228,240,142,142,215,215,261,261,209,213,Adult
162,228,228,142,142,217,217,261,261,213,213,Adult
163,224,240,134,142,217,217,261,261,213,213,Adult
164,240,240,134,142,217,217,253,253,213,213,Juvenile
165,228,240,142,158,217,217,253,261,209,209,Adult
166,228,240,0,0,215,217,0,0,0,0,Adult
167,224,240,154,154,211,217,261,261,213,213,Adult
168,228,240,142,142,217,217,253,261,213,213,Adult
169,236,240,134,138,215,217,261,265,213,213,Adult
170,228,240,134,142,211,215,253,261,213,213,Adult
171,236,240,134,154,211,217,253,261,209,213,Adult
172,224,228,134,146,217,217,261,265,213,213,Adult
174,224,228,138,146,215,217,261,265,213,213,Adult
175,228,240,134,142,217,217,261,265,213,213,Adult
176,220,240,142,154,211,215,253,265,213,213,Juvenile
177,224,240,142,154,211,215,261,269,213,213,Juvenile
179,228,240,142,142,217,217,261,261,213,213,Adult
180,228,240,134,142,215,217,253,265,213,213,Adult
181,228,228,134,154,215,217,253,253,209,213,Adult
182,228,240,134,142,217,217,253,265,213,213,Adult
184,228,240,134,154,215,217,261,265,213,213,Adult
185,224,228,142,146,215,217,253,261,213,213,Adult
186,224,224,134,142,215,217,261,265,213,213,Adult
187,236,240,134,154,211,217,253,261,209,213,Adult
188,228,244,142,146,211,217,253,261,209,213,Adult
189,228,240,134,134,215,217,261,261,213,213,Adult
190,228,240,134,148,215,217,261,261,213,213,Adult
191,228,240,0,0,217,217,0,0,213,213,Adult
192,224,240,138,142,215,215,261,265,213,213,Adult
193,224,240,134,158,215,217,253,261,213,213,Yearling
194,228,228,134,142,215,217,261,265,0,0,Adult
195,224,240,142,158,215,215,265,269,213,213,Adult
196,228,240,134,142,211,217,261,265,213,213,Adult
197,228,236,146,154,215,215,253,261,213,213,Adult
198,224,240,134,142,217,217,253,261,213,213,Adult
200,228,240,134,142,215,217,253,253,213,213,Adult
201,224,224,134,158,217,217,253,265,209,209,Adult
202,224,228,142,142,211,217,253,265,213,213,Adult
203,224,228,142,154,211,217,253,261,213,213,Adult
204,228,240,142,154,215,217,253,261,209,213,Adult
205,240,240,134,154,215,215,261,265,213,213,Yearling
206,224,240,142,142,215,217,253,265,213,213,Juvenile
207,228,240,134,134,211,215,253,261,209,213,Adult
208,228,240,146,146,215,217,261,265,209,213,Adult
209,220,240,134,142,215,217,253,261,213,213,Adult
210,228,240,142,142,215,217,253,265,209,209,Adult
211,228,240,142,142,217,217,253,265,213,213,Adult
212,228,240,134,142,211,217,261,265,213,213,Adult
213,240,240,142,142,215,217,253,269,213,213,Adult
214,224,236,134,142,211,217,253,261,213,213,Adult
215,224,228,134,142,217,217,261,261,213,213,Juvenile
216,228,240,142,154,217,217,253,253,213,213,Adult
217,228,236,134,154,215,217,253,265,209,213,Adult
218,228,228,134,142,217,217,261,261,213,213,Adult
219,228,240,134,134,217,217,261,265,213,213,Adult
220,224,240,142,158,215,215,261,265,213,213,Juvenile
221,224,240,142,158,215,215,261,265,213,213,Juvenile
222,228,240,134,134,217,217,261,265,213,213,Juvenile
223,236,240,134,142,217,217,261,261,213,213,Adult
224,224,228,154,158,211,217,261,265,213,213,Adult
225,228,240,142,142,211,217,253,253,213,213,Adult
226,224,240,138,142,217,217,253,265,213,213,Adult
227,224,228,134,134,217,217,261,261,213,213,Yearling
231,228,240,134,142,0,0,253,261,213,213,Juvenile
233,228,240,142,142,217,217,253,269,213,213,Juvenile
235,224,240,142,142,217,217,253,261,209,213,Juvenile
237,236,240,142,142,211,215,253,253,213,213,Adult
242,240,240,134,142,211,217,253,253,209,213,Adult
251,228,228,134,142,215,217,261,265,209,213,Juvenile
253,228,240,134,142,217,217,261,261,213,213,Yearling
266,220,228,138,154,217,217,253,265,209,213,Adult
267,220,240,142,142,211,217,253,261,213,213,Adult
268,224,240,142,154,211,215,261,269,213,213,Adult
269,220,228,134,134,217,217,253,261,209,213,Adult
270,228,240,142,142,211,217,253,253,213,213,Yearling
271,224,224,142,146,215,217,261,261,213,213,Adult
272,224,240,134,134,217,219,261,261,213,213,Adult
273,228,240,138,158,215,217,253,265,213,213,Adult
274,228,228,134,142,215,217,261,265,0,0,Juvenile
275,228,240,142,146,217,217,253,253,213,213,Adult
276,224,240,138,142,211,217,253,261,213,213,Adult
278,228,236,146,154,215,217,253,253,213,213,Juvenile
